key,Ametal,Bmetal,AandB,symbol,Crystal System,Surface,experimentally_observed,Full_optimized_DFT_H_ads_energy,surface_energy,Cost
mp-510219_H_0_111,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,111,True,-0.27271038,0.9875952444332408,6772.084699999998
mp-510219_H_1_111,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,111,True,-0.12354695,1.075862250126983,6772.084699999998
mp-510219_H_2_111,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,111,True,-0.24202628,0.9424683606960056,6772.084699999998
mp-510219_H_3_111,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,111,True,-0.3493167,0.9851628123386456,6772.084699999998
mp-568_H_3_111,Sb,Ti,Sb-Ti,Ti2Sb4,Tetragonal,111,True,-0.31129682,0.925758470684605,21.78492666666666
mp-973354_H_1_111,Pt,Sb,Pt-Sb,SbPt3,Tetragonal,111,False,-0.2716012,0.6810596564411319,23037.700382500003
mp-1120769_H_0_111,Pt,Ru,Pt-Ru,RuPt,Tetragonal,111,False,-0.36137784,2.2125879641567514,25481.075
mp-1235_H_1_111,Ir,Ti,Ir-Ti,Ti2Ir2,Tetragonal,111,True,-0.28228125,2.303905547058123,68323.75086
mp-1601_H_1_111,Ru,Ta,Ru-Ta,TaRu,Tetragonal,111,True,-0.37025166,2.501551078386238,10302.81
mp-2213_H_0_111,Fe,Ni,Fe-Ni,Fe2Ni2,Tetragonal,111,True,-0.34467688,2.559485056262764,7.92251
mp-2260_H_0_111,Fe,Pt,Fe-Pt,FePt,Tetragonal,111,True,-0.35247603,2.308324326174044,15353.640025
mp-432_H_0_111,Nb,Ru,Nb-Ru,NbRu,Tetragonal,111,True,-0.27974335,2.317759484120512,10167.69
mp-949_H_0_111,Co,Pt,Co-Pt,Co2Pt2,Tetragonal,111,True,-0.39612369,2.119936959623673,15370.43993
mp-1221425_H_0_111,Mo,Pt,Mo-Pt,MoPt3,Trigonal,111,False,-0.38164267,1.9722650059753888,23045.870270000003
mp-2083_H_0_210,Ir,Sn,Ir-Sn,Sn2Ir,Cubic,210,True,-0.1401535,1.0136915948828826,45567.31803333332
mp-838_H_0_210,Cu,Sn,Cu-Sn,Cu3Sn,Cubic,210,True,-0.13265035,0.731595416343544,15.4369325
mp-1521_H_5_210,Mo,Sb,Mo-Sb,Sb14Mo6,Cubic,210,True,-0.16931093,0.998435002466024,39.065395
mp-22344_H_3_210,Ru,Sn,Ru-Sn,Sn14Ru6,Cubic,210,True,-0.3645967,1.138195169905296,6097.940435
mp-1009207_H_1_210,Mn,Sb,Mn-Sb,MnSb,Cubic,210,False,-0.21214845,1.1045596018656358,14.66259
mp-11552_H_0_210,Pt,Ti,Pt-Ti,TiPt,Cubic,210,True,-0.2070045,1.6160325779109208,15357.00586
mp-1183969_H_1_210,Cu,Sb,Cu-Sb,Cu3Sb,Cubic,210,False,-0.30026883,0.7590966781710543,15.0918025
mp-12086_H_0_210,Cu,Pt,Cu-Pt,Cu3Pt,Cubic,210,True,-0.3257783,1.506914294919244,7684.57142
mp-12086_H_1_210,Cu,Pt,Cu-Pt,Cu3Pt,Cubic,210,True,-0.29030203,1.5013330664286848,7684.57142
mp-12798_H_0_210,Ni,Pt,Ni-Pt,Ni3Pt,Cubic,210,True,-0.3955775,2.057844465909902,7688.6037275
mp-10598_H_0_210,Cu,Sn,Cu-Sn,Cu2Sn2,Hexagonal,210,True,-0.19085743,0.7278672277010587,20.505305
mp-1207123_H_2_210,Nb,Sb,Nb-Sb,Nb2Sb2,Hexagonal,210,False,-0.20430633,1.5292238375974925,54.835765
mp-13138_H_0_210,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,210,True,-0.24530253,0.8279590621785623,15.4369325
mp-13138_H_1_210,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,210,True,-0.28916604,0.9214502218350684,15.4369325
mp-13138_H_2_210,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,210,True,-0.2554544,0.9981654035778816,15.4369325
mp-13138_H_4_210,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,210,True,-0.22746902,0.9030209395126564,15.4369325
mp-13138_H_5_210,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,210,True,-0.20765169,1.0106878362310758,15.4369325
mp-19856_H_1_210,Pt,Sn,Pt-Sn,Sn2Pt2,Hexagonal,210,True,-0.22154882,0.8569125587193728,15368.911025
mp-19856_H_2_210,Pt,Sn,Pt-Sn,Sn2Pt2,Hexagonal,210,True,-0.20230904,1.0118959707318125,15368.911025
mp-22389_H_1_210,Mn,Sn,Mn-Sn,Mn6Sn2,Hexagonal,210,True,-0.12484246,1.4455441953254915,7.70825
mp-2845_H_0_210,Pt,Sb,Pt-Sb,Sb2Pt2,Hexagonal,210,True,-0.28421273,0.7054267969024379,15368.220765
mp-30846_H_0_210,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,210,True,-0.14253215,0.7229070660120318,12301.25723
mp-30846_H_1_210,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,210,True,-0.20551233,0.8252111502270947,12301.25723
mp-30846_H_2_210,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,210,True,-0.27412836,0.7156628550028721,12301.25723
mp-810_H_1_210,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,210,True,-0.22402089,0.7906654469177574,22.50325
mp-810_H_2_210,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,210,True,-0.24526628,0.9797380170082992,22.50325
mp-1184069_H_0_210,Cu,Ni,Cu-Ni,CuNi,Hexagonal,210,False,-0.34569393,1.8986047780319533,13.056765
mp-1218950_H_0_210,Mo,Sn,Mo-Sn,SnMo3,Orthorhombic,210,False,-0.34396635,1.773033500360723,54.1163225
mp-20900_H_0_210,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,210,True,-0.22038803,0.7201282631813798,15.0918025
mp-20900_H_1_210,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,210,True,-0.12521583,0.6388625676303543,15.0918025
mp-30850_H_0_210,Pt,Ta,Pt-Ta,Ta2Pt6,Orthorhombic,210,True,-0.34875783,1.968447770880666,23118.0475
mp-581786_H_0_210,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,210,True,-0.18912976,0.8860990970916668,15.4369325
mp-581786_H_1_210,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,210,True,-0.22411983,0.8525255541800856,15.4369325
mp-20714_H_1_210,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,210,True,-0.20212316,0.8335200912423852,19.54103666666666
mp-20714_H_2_210,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,210,True,-0.21670568,0.9976161880238598,19.54103666666666
mp-20928_H_1_210,Ru,Sb,Ru-Sb,Sb4Ru2,Orthorhombic,210,True,-0.16573081,0.9835541515149754,6771.164353333331
mp-20928_H_2_210,Ru,Sb,Ru-Sb,Sb4Ru2,Orthorhombic,210,True,-0.26346584,1.1325907797430754,6771.164353333331
mp-9835_H_0_210,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,210,True,-0.22258749,0.9951376413972112,30.74097333333332
mp-9835_H_1_210,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,210,True,-0.20560689,0.8303164749186156,30.74097333333332
mp-9835_H_2_210,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,210,True,-0.19998723,0.9876986091869768,30.74097333333332
mp-949_H_1_210,Co,Pt,Co-Pt,Co2Pt2,Tetragonal,210,True,-0.35346223,2.2140701838383743,15370.43993
mp-2002_H_0_211,Cu,Sb,Cu-Sb,Cu3Sb,Cubic,211,True,-0.15197787,0.3570892531086651,15.0918025
mp-2083_H_0_211,Ir,Sn,Ir-Sn,Sn2Ir,Cubic,211,True,-0.20751188,0.8750796056580818,45567.31803333332
mp-838_H_0_211,Cu,Sn,Cu-Sn,Cu3Sn,Cubic,211,True,-0.10302578,0.7322990380782837,15.4369325
mp-22040_H_0_211,Ir,Sn,Ir-Sn,Sn14Ir6,Cubic,211,True,-0.10270811,0.7011248488268959,41013.650435
mp-1009207_H_0_211,Mn,Sb,Mn-Sb,MnSb,Cubic,211,False,-0.17487366,0.9095204923795824,14.66259
mp-11552_H_0_211,Pt,Ti,Pt-Ti,TiPt,Cubic,211,True,-0.24028649,1.3969900051421902,15357.00586
mp-12086_H_0_211,Cu,Pt,Cu-Pt,Cu3Pt,Cubic,211,True,-0.3031862,1.3477229481657298,7684.57142
mp-12086_H_1_211,Cu,Pt,Cu-Pt,Cu3Pt,Cubic,211,True,-0.33866303,1.353102272942543,7684.57142
mp-10598_H_3_211,Cu,Sn,Cu-Sn,Cu2Sn2,Hexagonal,211,True,-0.35658364,0.8383116687735297,20.505305
mp-1186237_H_0_211,Nb,Sn,Nb-Sn,Nb2Sn6,Hexagonal,211,False,-0.10922943,0.4518995579343862,43.0840375
mp-1187261_H_2_211,Sn,Ta,Sn-Ta,Ta2Sn6,Hexagonal,211,False,-0.31255709,0.2822863957363477,110.6440375
mp-13138_H_0_211,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,211,True,-0.20387758,0.8831802506571611,15.4369325
mp-13138_H_1_211,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,211,True,-0.18827694,0.8822354922708245,15.4369325
mp-13138_H_2_211,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,211,True,-0.28712313,0.8657146793792481,15.4369325
mp-19856_H_0_211,Pt,Sn,Pt-Sn,Sn2Pt2,Hexagonal,211,True,-0.31098323,0.949450943414734,15368.911025
mp-19856_H_1_211,Pt,Sn,Pt-Sn,Sn2Pt2,Hexagonal,211,True,-0.35511669,1.08815628902799,15368.911025
mp-19856_H_2_211,Pt,Sn,Pt-Sn,Sn2Pt2,Hexagonal,211,True,-0.16979861,0.9583101237479048,15368.911025
mp-2845_H_1_211,Pt,Sb,Pt-Sb,Sb2Pt2,Hexagonal,211,True,-0.2119453,0.8368014676035871,15368.220765
mp-2845_H_3_211,Pt,Sb,Pt-Sb,Sb2Pt2,Hexagonal,211,True,-0.37844286,0.8663262721000815,15368.220765
mp-30846_H_0_211,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,211,True,-0.13651096,0.7347713593094635,12301.25723
mp-30846_H_1_211,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,211,True,-0.2190746,0.8128752805684181,12301.25723
mp-30846_H_2_211,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,211,True,-0.18217799,0.749254064703178,12301.25723
mp-30846_H_3_211,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,211,True,-0.12811078,0.7502717688216917,12301.25723
mp-810_H_0_211,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,211,True,-0.25274093,0.8916559651881585,22.50325
mp-810_H_1_211,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,211,True,-0.28702265,1.082598086482708,22.50325
mp-810_H_2_211,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,211,True,-0.20782505,0.918049271565046,22.50325
mp-20900_H_3_211,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,211,True,-0.19333554,0.7388449160422998,15.0918025
mp-20900_H_4_211,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,211,True,-0.23134589,0.7823681643252358,15.0918025
mp-20900_H_7_211,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,211,True,-0.2870102,0.7412098736062673,15.0918025
mp-581786_H_2_211,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,211,True,-0.14604197,0.9684681066338348,15.4369325
mp-581786_H_3_211,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,211,True,-0.14977591,0.923911693001582,15.4369325
mp-581786_H_5_211,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,211,True,-0.14651976,0.9281803833265814,15.4369325
mp-581786_H_6_211,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,211,True,-0.11212651,0.9275437439275924,15.4369325
mp-20714_H_1_211,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,211,True,-0.34561709,0.9486999955301588,19.54103666666666
mp-20714_H_4_211,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,211,True,-0.26633025,0.9777342218369348,19.54103666666666
mp-20928_H_4_211,Ru,Sb,Ru-Sb,Sb4Ru2,Orthorhombic,211,True,-0.34466028,1.1186882154240727,6771.164353333331
mp-9835_H_0_211,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,211,True,-0.33803772,0.9969651694749756,30.74097333333332
mp-9835_H_1_211,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,211,True,-0.25523544,0.9706553355564262,30.74097333333332
mp-9835_H_4_211,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,211,True,-0.20445,0.9763852540625692,30.74097333333332
mp-20155_H_2_211,Co,Sn,Co-Sn,Co2Sn4,Tetragonal,211,True,-0.21967854,1.0526186023019786,31.66131999999999
mp-22752_H_0_211,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,211,True,-0.26073252,0.8513771770376123,20.461383333333327
mp-510219_H_0_211,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,211,True,-0.24587532,0.8881660423954755,6772.084699999998
mp-510219_H_2_211,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,211,True,-0.33637131,1.2225689947028169,6772.084699999998
mp-568_H_2_211,Sb,Ti,Sb-Ti,Ti2Sb4,Tetragonal,211,True,-0.35701123,0.8732953188982153,21.78492666666666
mp-1100766_H_0_211,Ni,Pt,Ni-Pt,Ni3Pt,Tetragonal,211,False,-0.38425766,1.983241481292814,7688.6037275
mp-973354_H_3_211,Pt,Sb,Pt-Sb,SbPt3,Tetragonal,211,False,-0.37164718,0.8883294897004763,23037.700382500003
mp-1030_H_0_221,Pt,Sb,Pt-Sb,SbPt7,Cubic,221,True,-0.38008509,1.1871198701437111,26872.44019125
mp-2083_H_0_221,Ir,Sn,Ir-Sn,Sn2Ir,Cubic,221,True,-0.25729276,0.8603905125419432,45567.31803333332
mp-838_H_1_221,Cu,Sn,Cu-Sn,Cu3Sn,Cubic,221,True,-0.23421402,0.779560279350559,15.4369325
mp-1521_H_0_221,Mo,Sb,Mo-Sb,Sb14Mo6,Cubic,221,True,-0.28433442,0.9424318513755218,39.065395
mp-1009206_H_1_221,Mn,Sn,Mn-Sn,MnSn,Cubic,221,False,-0.29072565,1.1938858146035742,15.35285
mp-1009207_H_1_221,Mn,Sb,Mn-Sb,MnSb,Cubic,221,False,-0.19250603,0.9730334880710204,14.66259
mp-11552_H_1_221,Pt,Ti,Pt-Ti,TiPt,Cubic,221,True,-0.30304897,1.459167996813119,15357.00586
mp-1180_H_0_221,Mn,Pt,Mn-Pt,MnPt3,Cubic,221,True,-0.29930358,1.739731848135278,23030.4009125
mp-1183969_H_1_221,Cu,Sb,Cu-Sb,Cu3Sb,Cubic,221,False,-0.15024316,0.5318582600943615,15.0918025
mp-12086_H_0_221,Cu,Pt,Cu-Pt,Cu3Pt,Cubic,221,True,-0.29489366,1.295684217056571,7684.57142
mp-12086_H_1_221,Cu,Pt,Cu-Pt,Cu3Pt,Cubic,221,True,-0.24726563,1.294837005979449,7684.57142
mp-12107_H_0_221,Pt,Ti,Pt-Ti,TiPt3,Cubic,221,True,-0.28422957,1.80729197783026,23032.092930000003
mp-12594_H_1_221,Ir,Ti,Ir-Ti,TiIr,Cubic,221,True,-0.38311261,1.7438898112494765,68323.75086
mp-13100_H_0_221,Mo,Pt,Mo-Pt,MoPt3,Cubic,221,False,-0.29597249,1.6174782694428993,23045.870270000003
mp-649_H_0_221,Fe,Pt,Fe-Pt,FePt3,Cubic,221,True,-0.33660882,1.7041321936211251,23030.4100125
mp-922_H_0_221,Co,Pt,Co-Pt,CoPt3,Cubic,221,True,-0.3625702,1.6516458948840582,23038.809965
mp-1207123_H_1_221,Nb,Sb,Nb-Sb,Nb2Sb2,Hexagonal,221,False,-0.18215324,1.3602971050345165,54.835765
mp-13138_H_0_221,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,221,True,-0.27265801,0.9187315884388058,15.4369325
mp-19856_H_0_221,Pt,Sn,Pt-Sn,Sn2Pt2,Hexagonal,221,True,-0.25837218,0.9427426072728003,15368.911025
mp-19856_H_1_221,Pt,Sn,Pt-Sn,Sn2Pt2,Hexagonal,221,True,-0.1546355,0.9488248106611732,15368.911025
mp-2845_H_0_221,Pt,Sb,Pt-Sb,Sb2Pt2,Hexagonal,221,True,-0.11240567,0.6614876089598022,15368.220765
mp-30846_H_0_221,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,221,True,-0.15305477,0.7161938291968459,12301.25723
mp-30846_H_1_221,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,221,True,-0.14831022,0.7379931731536422,12301.25723
mp-30846_H_2_221,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,221,True,-0.16593802,0.7215282886041526,12301.25723
mp-810_H_0_221,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,221,True,-0.21281032,0.8822441975982408,22.50325
mp-810_H_1_221,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,221,True,-0.201408,0.8993142696330475,22.50325
mp-1217110_H_3_221,Ru,Ti,Ru-Ti,Ti4Ru,Orthorhombic,221,False,-0.19003341,2.797101654280871,4056.4593760000007
mp-1078699_H_0_221,Nb,Pt,Nb-Pt,Nb2Pt6,Orthorhombic,221,True,-0.38428474,2.090503841258972,23050.487500000003
mp-20900_H_0_221,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,221,True,-0.27518839,0.6545562009656577,15.0918025
mp-20900_H_1_221,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,221,True,-0.34363293,0.7339192946164582,15.0918025
mp-20900_H_2_221,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,221,True,-0.30230174,0.7064509575920248,15.0918025
mp-20900_H_3_221,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,221,True,-0.34494688,0.7024080584066102,15.0918025
mp-20900_H_4_221,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,221,True,-0.22593418,0.7395150445597525,15.0918025
mp-20900_H_5_221,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,221,True,-0.18155188,0.7359700782689796,15.0918025
mp-581786_H_0_221,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,221,True,-0.22132383,0.9371570147492624,15.4369325
mp-581786_H_1_221,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,221,True,-0.13593819,0.9552088663905924,15.4369325
mp-581786_H_2_221,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,221,True,-0.18781383,0.9683614225445016,15.4369325
mp-581786_H_3_221,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,221,True,-0.19890817,0.9175379464783834,15.4369325
mp-581786_H_5_221,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,221,True,-0.22595291,0.9594240599831364,15.4369325
mp-20714_H_2_221,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,221,True,-0.12118899,0.8208636585485946,19.54103666666666
mp-20714_H_3_221,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,221,True,-0.26678021,0.9441538721365528,19.54103666666666
mp-20928_H_2_221,Ru,Sb,Ru-Sb,Sb4Ru2,Orthorhombic,221,True,-0.18387927,1.0284350710173646,6771.164353333331
mp-20928_H_3_221,Ru,Sb,Ru-Sb,Sb4Ru2,Orthorhombic,221,True,-0.31911135,1.1520055505297428,6771.164353333331
mp-9835_H_0_221,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,221,True,-0.32635401,0.8418700093832959,30.74097333333332
mp-1072181_H_0_221,Fe,Sb,Fe-Sb,Fe2Sb4,Tetragonal,221,True,-0.26319651,0.4641970571112371,19.54103666666666
mp-1072181_H_1_221,Fe,Sb,Fe-Sb,Fe2Sb4,Tetragonal,221,True,-0.26640297,0.635321022506894,19.54103666666666
mp-20086_H_0_221,Mn,Sn,Mn-Sn,Mn2Sn4,Tetragonal,221,True,-0.14672684,0.9412600008558636,20.44925
mp-20086_H_1_221,Mn,Sn,Mn-Sn,Mn2Sn4,Tetragonal,221,True,-0.15905963,1.1148994473622582,20.44925
mp-20155_H_0_221,Co,Sn,Co-Sn,Co2Sn4,Tetragonal,221,True,-0.14918236,0.8107973203166616,31.66131999999999
mp-20155_H_2_221,Co,Sn,Co-Sn,Co2Sn4,Tetragonal,221,True,-0.23532628,0.792209376290914,31.66131999999999
mp-22752_H_0_221,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,221,True,-0.2331692,0.881321899591497,20.461383333333327
mp-22752_H_2_221,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,221,True,-0.37154025,0.8605838710416468,20.461383333333327
mp-510219_H_0_221,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,221,True,-0.25717356,0.9432197853471612,6772.084699999998
mp-510219_H_1_221,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,221,True,-0.27850883,1.1221709484819655,6772.084699999998
mp-510219_H_2_221,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,221,True,-0.37401592,0.9350583236383234,6772.084699999998
mp-568_H_0_221,Sb,Ti,Sb-Ti,Ti2Sb4,Tetragonal,221,True,-0.33963829,0.9080657708260692,21.78492666666666
